Date,Annualized_Budget,Participants,Normalized_MMM_Classification
2025-03-31,118000,2631,Major Cities
2025-03-31,111000,268,"Population > 50,000"
2025-03-31,116000,539,"Population between 15,000 and 50,000"
2025-03-31,57000,54,"Population between 5,000 and 15,000"
2025-03-31,69000,198,"Population less than 5,000"
2025-03-31,125000,1456,"Population less than 5,000"
2024-12-31,117000,2561,Major Cities
2024-12-31,116000,234,"Population > 50,000"
2024-12-31,115000,526,"Population between 15,000 and 50,000"
2024-12-31,62000,55,"Population between 5,000 and 15,000"
2024-12-31,68000,196,"Population less than 5,000"
2024-12-31,116000,1420,"Population less than 5,000"
2024-09-30,116000,2499,Major Cities
2024-09-30,108000,224,"Population > 50,000"
2024-09-30,109000,516,"Population between 15,000 and 50,000"
2024-09-30,53000,55,"Population between 5,000 and 15,000"
2024-09-30,69000,191,"Population less than 5,000"
2024-09-30,109000,1384,"Population less than 5,000"
2024-06-30,114000,2387,Major Cities
2024-06-30,103000,228,"Population > 50,000"
2024-06-30,105000,511,"Population between 15,000 and 50,000"
2024-06-30,57000,51,"Population between 5,000 and 15,000"
2024-06-30,64000,187,"Population less than 5,000"
2024-06-30,104000,1312,"Population less than 5,000"
2024-03-31,112000,2330,Major Cities
2024-03-31,101000,226,"Population > 50,000"
2024-03-31,91000,133,"Population between 15,000 and 50,000"
2024-03-31,57000,47,"Population between 5,000 and 15,000"
2024-03-31,60000,148,"Population less than 5,000"
2024-03-31,103000,1688,"Population less than 5,000"
2023-12-31,111000,2306,Major Cities
2023-12-31,97000,213,"Population > 50,000"
2023-12-31,101000,478,"Population between 15,000 and 50,000"
2023-12-31,45000,46,"Population between 5,000 and 15,000"
2023-12-31,57000,183,"Population less than 5,000"
2023-12-31,101000,1276,"Population less than 5,000"
2023-09-30,110000,2246,Major Cities
2023-09-30,81000,196,"Population > 50,000"
2023-09-30,101000,470,"Population between 15,000 and 50,000"
2023-09-30,45000,45,"Population between 5,000 and 15,000"
2023-09-30,57000,183,"Population less than 5,000"
2023-09-30,98000,1220,"Population less than 5,000"
2023-06-30,105000,2153,Major Cities
2023-06-30,82000,187,"Population > 50,000"
2023-06-30,91000,445,"Population between 15,000 and 50,000"
2023-06-30,45000,38,"Population between 5,000 and 15,000"
2023-06-30,55000,174,"Population less than 5,000"
2023-06-30,93000,1187,"Population less than 5,000"
2023-03-31,102000,2066,Major Cities
2023-03-31,79000,180,"Population > 50,000"
2023-03-31,88000,424,"Population between 15,000 and 50,000"
2023-03-31,47000,36,"Population between 5,000 and 15,000"
2023-03-31,60000,170,"Population less than 5,000"
2023-03-31,95000,1140,"Population less than 5,000"
2022-12-31,98000,1979,Major Cities
2022-12-31,74000,169,"Population > 50,000"
2022-12-31,84000,409,"Population between 15,000 and 50,000"
2022-12-31,48000,35,"Population between 5,000 and 15,000"
2022-12-31,59000,170,"Population less than 5,000"
2022-12-31,93000,1086,"Population less than 5,000"
2022-09-30,94000,1900,Major Cities
2022-09-30,72000,175,"Population > 50,000"
2022-09-30,77000,393,"Population between 15,000 and 50,000"
2022-09-30,48000,32,"Population between 5,000 and 15,000"
2022-09-30,52000,163,"Population less than 5,000"
2022-09-30,88000,1083,"Population less than 5,000"
2022-06-30,88000,1827,Major Cities
2022-06-30,67000,165,"Population > 50,000"
2022-06-30,69000,378,"Population between 15,000 and 50,000"
2022-06-30,47000,35,"Population between 5,000 and 15,000"
2022-06-30,50000,157,"Population less than 5,000"
2022-06-30,81000,1048,"Population less than 5,000"
2022-03-31,85000,1756,Major Cities
2022-03-31,58000,152,"Population > 50,000"
2022-03-31,66000,356,"Population between 15,000 and 50,000"
2022-03-31,46000,34,"Population between 5,000 and 15,000"
2022-03-31,46000,153,"Population less than 5,000"
2022-03-31,82000,1018,"Population less than 5,000"
2021-12-31,85000,1683,Major Cities
2021-12-31,59000,153,"Population > 50,000"
2021-12-31,67000,329,"Population between 15,000 and 50,000"
2021-12-31,46000,33,"Population between 5,000 and 15,000"
2021-12-31,45000,148,"Population less than 5,000"
2021-12-31,81000,962,"Population less than 5,000"
2021-09-30,85000,1595,Major Cities
2021-09-30,54000,149,"Population > 50,000"
2021-09-30,68000,292,"Population between 15,000 and 50,000"
2021-09-30,48000,35,"Population between 5,000 and 15,000"
2021-09-30,43000,141,"Population less than 5,000"
2021-09-30,83000,914,"Population less than 5,000"
2021-06-30,85000,1502,Major Cities
2021-06-30,58000,136,"Population > 50,000"
2021-06-30,70000,288,"Population between 15,000 and 50,000"
2021-06-30,46000,30,"Population between 5,000 and 15,000"
2021-06-30,46000,129,"Population less than 5,000"
2021-06-30,86000,861,"Population less than 5,000"
2021-03-31,88000,1431,Major Cities
2021-03-31,62000,128,"Population > 50,000"
2021-03-31,72000,258,"Population between 15,000 and 50,000"
2021-03-31,47000,39,"Population between 5,000 and 15,000"
2021-03-31,45000,120,"Population less than 5,000"
2021-03-31,89000,802,"Population less than 5,000"
2020-12-31,91000,1348,Major Cities
2020-12-31,64000,118,"Population > 50,000"
2020-12-31,76000,249,"Population between 15,000 and 50,000"
2020-12-31,45000,27,"Population between 5,000 and 15,000"
2020-12-31,47000,113,"Population less than 5,000"
2020-12-31,96000,748,"Population less than 5,000"
2020-09-30,91000,1211,Major Cities
2020-09-30,63000,114,"Population > 50,000"
2020-09-30,82000,224,"Population between 15,000 and 50,000"
2020-09-30,49000,22,"Population between 5,000 and 15,000"
2020-09-30,48000,105,"Population less than 5,000"
2020-09-30,97000,688,"Population less than 5,000"
2020-06-30,88000,1087,Major Cities
2020-06-30,62000,98,"Population > 50,000"
2020-06-30,83000,183,"Population between 15,000 and 50,000"
2020-06-30,40000,26,"Population between 5,000 and 15,000"
2020-06-30,48000,90,"Population less than 5,000"
2020-06-30,96000,612,"Population less than 5,000"
2020-03-31,78000,865,Major Cities
2020-03-31,61000,72,"Population > 50,000"
2020-03-31,67000,124,"Population between 15,000 and 50,000"
2020-03-31,44000,13,"Population between 5,000 and 15,000"
2020-03-31,52000,64,"Population less than 5,000"
2020-03-31,94000,539,"Population less than 5,000"
