Date,Service_District,LGA_Name,Participants
2024-12-31,Central North Metro,Cambridge,416
2024-12-31,Central North Metro,Claremont,189
2024-12-31,Central North Metro,Cottesloe,69
2024-12-31,Central North Metro,Mosman Park,136
2024-12-31,Central North Metro,Nedlands,403
2024-12-31,Central North Metro,Peppermint Grove,11
2024-12-31,Central North Metro,Perth,349
2024-12-31,Central North Metro,Stirling,4316
2024-12-31,Central North Metro,Subiaco,270
2024-12-31,Central North Metro,Vincent,613
2024-12-31,Central South Metro,Cockburn,2815
2024-12-31,Central South Metro,East Fremantle,97
2024-12-31,Central South Metro,Fremantle,673
2024-12-31,Central South Metro,Kwinana,1469
2024-12-31,Central South Metro,Melville,1835
2024-12-31,Central South Metro,South Perth,685
2024-12-31,Goldfields-Esperance,Coolgardie,65
2024-12-31,Goldfields-Esperance,Dundas,14
2024-12-31,Goldfields-Esperance,Esperance,314
2024-12-31,Goldfields-Esperance,Kalgoorlie/Boulder,549
2024-12-31,Goldfields-Esperance,Leonora,11
2024-12-31,Goldfields-Esperance,Ngaanyatjarraku,41
2024-12-31,Goldfields-Esperance,Ravensthorpe,27
2024-12-31,Great Southern,Albany,1012
2024-12-31,Great Southern,Broomehill-Tambellup,27
2024-12-31,Great Southern,Cranbrook,25
2024-12-31,Great Southern,Denmark,109
2024-12-31,Great Southern,Gnowangerup,19
2024-12-31,Great Southern,Jerramungup,13
2024-12-31,Great Southern,Katanning,65
2024-12-31,Great Southern,Kojonup,24
2024-12-31,Great Southern,Plantagenet,102
2024-12-31,Kimberley-Pilbara,Ashburton,88
2024-12-31,Kimberley-Pilbara,Broome,479
2024-12-31,Kimberley-Pilbara,Derby-West Kimberley,221
2024-12-31,Kimberley-Pilbara,East Pilbara,104
2024-12-31,Kimberley-Pilbara,Halls Creek,98
2024-12-31,Kimberley-Pilbara,Karratha,449
2024-12-31,Kimberley-Pilbara,Port Hedland,275
2024-12-31,Kimberley-Pilbara,Wyndham-East Kimberley,171
2024-12-31,Midwest-Gascoyne,Carnamah,13
2024-12-31,Midwest-Gascoyne,Carnarvon,83
2024-12-31,Midwest-Gascoyne,Chapman Valley,34
2024-12-31,Midwest-Gascoyne,Coorow,12
2024-12-31,Midwest-Gascoyne,Exmouth,31
2024-12-31,Midwest-Gascoyne,Greater Geraldton,1159
2024-12-31,Midwest-Gascoyne,Irwin,63
2024-12-31,Midwest-Gascoyne,Morawa,14
2024-12-31,Midwest-Gascoyne,Mount Magnet,20
2024-12-31,Midwest-Gascoyne,Northampton,63
2024-12-31,Midwest-Gascoyne,Wiluna,11
2024-12-31,North East Metro,Bassendean,524
2024-12-31,North East Metro,Bayswater,1423
2024-12-31,North East Metro,Kalamunda,1375
2024-12-31,North East Metro,Mundaring,966
2024-12-31,North East Metro,Swan,4652
2024-12-31,North Metro,Joondalup,3098
2024-12-31,North Metro,Wanneroo,5252
2024-12-31,Other,Anangu Pitjantjatjara,22
2024-12-31,Other,MacDonnell,24
2024-12-31,South East Metro,Belmont,877
2024-12-31,South East Metro,Canning,1990
2024-12-31,South East Metro,Gosnells,3252
2024-12-31,South East Metro,Victoria Park,746
2024-12-31,South Metro,Armadale,2628
2024-12-31,South Metro,Mandurah,2308
2024-12-31,South Metro,Murray,462
2024-12-31,South Metro,Rockingham,3757
2024-12-31,South Metro,Serpentine-Jarrahdale,765
2024-12-31,South West,Augusta-Margaret River,373
2024-12-31,South West,Boyup Brook,33
2024-12-31,South West,Bridgetown-Greenbushes,173
2024-12-31,South West,Bunbury,1049
2024-12-31,South West,Busselton,1011
2024-12-31,South West,Capel,470
2024-12-31,South West,Collie,244
2024-12-31,South West,Dardanup,341
2024-12-31,South West,Donnybrook-Balingup,160
2024-12-31,South West,Harvey,635
2024-12-31,South West,Manjimup,240
2024-12-31,South West,Nannup,21
2024-12-31,South West,Waroona,68
2024-12-31,Wheat Belt,Beverley,31
2024-12-31,Wheat Belt,Boddington,27
2024-12-31,Wheat Belt,Brookton,22
2024-12-31,Wheat Belt,Bruce Rock,17
2024-12-31,Wheat Belt,Chittering,131
2024-12-31,Wheat Belt,Corrigin,12
2024-12-31,Wheat Belt,Cuballing,19
2024-12-31,Wheat Belt,Cunderdin,27
2024-12-31,Wheat Belt,Dalwallinu,15
2024-12-31,Wheat Belt,Dandaragan,43
2024-12-31,Wheat Belt,Dowerin,13
2024-12-31,Wheat Belt,Gingin,103
2024-12-31,Wheat Belt,Goomalling,16
2024-12-31,Wheat Belt,Kellerberrin,20
2024-12-31,Wheat Belt,Kondinin,12
2024-12-31,Wheat Belt,Lake Grace,16
2024-12-31,Wheat Belt,Merredin,59
2024-12-31,Wheat Belt,Moora,44
2024-12-31,Wheat Belt,Narrogin,101
2024-12-31,Wheat Belt,Northam,318
2024-12-31,Wheat Belt,Pingelly,35
2024-12-31,Wheat Belt,Quairading,16
2024-12-31,Wheat Belt,Toodyay,85
2024-12-31,Wheat Belt,Victoria Plains,11
2024-12-31,Wheat Belt,Wagin,18
2024-12-31,Wheat Belt,Wickepin,14
2024-12-31,Wheat Belt,Williams,12
2024-12-31,Wheat Belt,Wongan-Ballidu,21
2024-12-31,Wheat Belt,Yilgarn,18
2024-12-31,Wheat Belt,York,79
2024-09-30,Central North Metro,Cambridge,406
2024-09-30,Central North Metro,Claremont,193
2024-09-30,Central North Metro,Cottesloe,67
2024-09-30,Central North Metro,Mosman Park,135
2024-09-30,Central North Metro,Nedlands,410
2024-09-30,Central North Metro,Peppermint Grove,11
2024-09-30,Central North Metro,Perth,350
2024-09-30,Central North Metro,Stirling,4254
2024-09-30,Central North Metro,Subiaco,262
2024-09-30,Central North Metro,Vincent,597
2024-09-30,Central South Metro,Cockburn,2765
2024-09-30,Central South Metro,East Fremantle,92
2024-09-30,Central South Metro,Fremantle,662
2024-09-30,Central South Metro,Kwinana,1421
2024-09-30,Central South Metro,Melville,1783
2024-09-30,Central South Metro,South Perth,663
2024-09-30,Goldfields-Esperance,Coolgardie,61
2024-09-30,Goldfields-Esperance,Dundas,13
2024-09-30,Goldfields-Esperance,Esperance,307
2024-09-30,Goldfields-Esperance,Kalgoorlie/Boulder,544
2024-09-30,Goldfields-Esperance,Leonora,12
2024-09-30,Goldfields-Esperance,Ngaanyatjarraku,39
2024-09-30,Goldfields-Esperance,Ravensthorpe,27
2024-09-30,Great Southern,Albany,994
2024-09-30,Great Southern,Broomehill-Tambellup,26
2024-09-30,Great Southern,Cranbrook,24
2024-09-30,Great Southern,Denmark,106
2024-09-30,Great Southern,Gnowangerup,18
2024-09-30,Great Southern,Katanning,61
2024-09-30,Great Southern,Kojonup,22
2024-09-30,Great Southern,Plantagenet,99
2024-09-30,Kimberley-Pilbara,Ashburton,84
2024-09-30,Kimberley-Pilbara,Broome,464
2024-09-30,Kimberley-Pilbara,Derby-West Kimberley,217
2024-09-30,Kimberley-Pilbara,East Pilbara,105
2024-09-30,Kimberley-Pilbara,Halls Creek,94
2024-09-30,Kimberley-Pilbara,Karratha,426
2024-09-30,Kimberley-Pilbara,Port Hedland,270
2024-09-30,Kimberley-Pilbara,Wyndham-East Kimberley,164
2024-09-30,Midwest-Gascoyne,Carnamah,13
2024-09-30,Midwest-Gascoyne,Carnarvon,84
2024-09-30,Midwest-Gascoyne,Chapman Valley,39
2024-09-30,Midwest-Gascoyne,Coorow,12
2024-09-30,Midwest-Gascoyne,Exmouth,30
2024-09-30,Midwest-Gascoyne,Greater Geraldton,1123
2024-09-30,Midwest-Gascoyne,Irwin,61
2024-09-30,Midwest-Gascoyne,Morawa,15
2024-09-30,Midwest-Gascoyne,Mount Magnet,18
2024-09-30,Midwest-Gascoyne,Northampton,64
2024-09-30,Midwest-Gascoyne,Wiluna,11
2024-09-30,North East Metro,Bassendean,520
2024-09-30,North East Metro,Bayswater,1382
2024-09-30,North East Metro,Kalamunda,1362
2024-09-30,North East Metro,Mundaring,954
2024-09-30,North East Metro,Swan,4546
2024-09-30,North Metro,Joondalup,3001
2024-09-30,North Metro,Wanneroo,5083
2024-09-30,Other,Anangu Pitjantjatjara,18
2024-09-30,Other,Central Desert,11
2024-09-30,Other,MacDonnell,19
2024-09-30,South East Metro,Belmont,856
2024-09-30,South East Metro,Canning,1984
2024-09-30,South East Metro,Gosnells,3169
2024-09-30,South East Metro,Victoria Park,731
2024-09-30,South Metro,Armadale,2555
2024-09-30,South Metro,Mandurah,2244
2024-09-30,South Metro,Murray,441
2024-09-30,South Metro,Rockingham,3664
2024-09-30,South Metro,Serpentine-Jarrahdale,745
2024-09-30,South West,Augusta-Margaret River,372
2024-09-30,South West,Boyup Brook,32
2024-09-30,South West,Bridgetown-Greenbushes,174
2024-09-30,South West,Bunbury,1022
2024-09-30,South West,Busselton,996
2024-09-30,South West,Capel,457
2024-09-30,South West,Collie,242
2024-09-30,South West,Dardanup,337
2024-09-30,South West,Donnybrook-Balingup,157
2024-09-30,South West,Harvey,614
2024-09-30,South West,Manjimup,248
2024-09-30,South West,Nannup,20
2024-09-30,South West,Waroona,70
2024-09-30,Wheat Belt,Beverley,30
2024-09-30,Wheat Belt,Boddington,25
2024-09-30,Wheat Belt,Brookton,19
2024-09-30,Wheat Belt,Bruce Rock,17
2024-09-30,Wheat Belt,Chittering,122
2024-09-30,Wheat Belt,Corrigin,13
2024-09-30,Wheat Belt,Cuballing,18
2024-09-30,Wheat Belt,Cunderdin,26
2024-09-30,Wheat Belt,Dalwallinu,15
2024-09-30,Wheat Belt,Dandaragan,44
2024-09-30,Wheat Belt,Dowerin,11
2024-09-30,Wheat Belt,Gingin,95
2024-09-30,Wheat Belt,Goomalling,16
2024-09-30,Wheat Belt,Kellerberrin,23
2024-09-30,Wheat Belt,Kondinin,12
2024-09-30,Wheat Belt,Lake Grace,15
2024-09-30,Wheat Belt,Merredin,58
2024-09-30,Wheat Belt,Moora,45
2024-09-30,Wheat Belt,Narrogin,102
2024-09-30,Wheat Belt,Northam,310
2024-09-30,Wheat Belt,Pingelly,32
2024-09-30,Wheat Belt,Quairading,17
2024-09-30,Wheat Belt,Toodyay,86
2024-09-30,Wheat Belt,Victoria Plains,11
2024-09-30,Wheat Belt,Wagin,17
2024-09-30,Wheat Belt,Wickepin,13
2024-09-30,Wheat Belt,Williams,11
2024-09-30,Wheat Belt,Wongan-Ballidu,20
2024-09-30,Wheat Belt,Wyalkatchem,12
2024-09-30,Wheat Belt,Yilgarn,16
2024-09-30,Wheat Belt,York,75
2024-06-30,Central North Metro,Cambridge,380
2024-06-30,Central North Metro,Claremont,190
2024-06-30,Central North Metro,Cottesloe,65
2024-06-30,Central North Metro,Mosman Park,132
2024-06-30,Central North Metro,Nedlands,398
2024-06-30,Central North Metro,Peppermint Grove,11
2024-06-30,Central North Metro,Perth,338
2024-06-30,Central North Metro,Stirling,4137
2024-06-30,Central North Metro,Subiaco,253
2024-06-30,Central North Metro,Vincent,575
2024-06-30,Central South Metro,Cockburn,2653
2024-06-30,Central South Metro,East Fremantle,90
2024-06-30,Central South Metro,Fremantle,639
2024-06-30,Central South Metro,Kwinana,1357
2024-06-30,Central South Metro,Melville,1734
2024-06-30,Central South Metro,South Perth,628
2024-06-30,Goldfields-Esperance,Coolgardie,58
2024-06-30,Goldfields-Esperance,Dundas,14
2024-06-30,Goldfields-Esperance,Esperance,279
2024-06-30,Goldfields-Esperance,Kalgoorlie/Boulder,528
2024-06-30,Goldfields-Esperance,Leonora,13
2024-06-30,Goldfields-Esperance,Ngaanyatjarraku,38
2024-06-30,Goldfields-Esperance,Ravensthorpe,21
2024-06-30,Great Southern,Albany,972
2024-06-30,Great Southern,Broomehill-Tambellup,25
2024-06-30,Great Southern,Cranbrook,24
2024-06-30,Great Southern,Denmark,99
2024-06-30,Great Southern,Gnowangerup,18
2024-06-30,Great Southern,Katanning,61
2024-06-30,Great Southern,Kojonup,21
2024-06-30,Great Southern,Plantagenet,101
2024-06-30,Kimberley-Pilbara,Ashburton,81
2024-06-30,Kimberley-Pilbara,Broome,440
2024-06-30,Kimberley-Pilbara,Derby-West Kimberley,208
2024-06-30,Kimberley-Pilbara,East Pilbara,97
2024-06-30,Kimberley-Pilbara,Halls Creek,92
2024-06-30,Kimberley-Pilbara,Karratha,405
2024-06-30,Kimberley-Pilbara,Port Hedland,259
2024-06-30,Kimberley-Pilbara,Wyndham-East Kimberley,164
2024-06-30,Midwest-Gascoyne,Carnamah,12
2024-06-30,Midwest-Gascoyne,Carnarvon,81
2024-06-30,Midwest-Gascoyne,Chapman Valley,34
2024-06-30,Midwest-Gascoyne,Coorow,12
2024-06-30,Midwest-Gascoyne,Exmouth,28
2024-06-30,Midwest-Gascoyne,Greater Geraldton,1090
2024-06-30,Midwest-Gascoyne,Irwin,58
2024-06-30,Midwest-Gascoyne,Morawa,14
2024-06-30,Midwest-Gascoyne,Mount Magnet,18
2024-06-30,Midwest-Gascoyne,Northampton,63
2024-06-30,Midwest-Gascoyne,Wiluna,11
2024-06-30,North East Metro,Bassendean,497
2024-06-30,North East Metro,Bayswater,1320
2024-06-30,North East Metro,Kalamunda,1325
2024-06-30,North East Metro,Mundaring,934
2024-06-30,North East Metro,Swan,4405
2024-06-30,North Metro,Joondalup,2907
2024-06-30,North Metro,Wanneroo,4872
2024-06-30,Other,MacDonnell,18
2024-06-30,South East Metro,Belmont,824
2024-06-30,South East Metro,Canning,1947
2024-06-30,South East Metro,Gosnells,3051
2024-06-30,South East Metro,Victoria Park,722
2024-06-30,South Metro,Armadale,2470
2024-06-30,South Metro,Mandurah,2134
2024-06-30,South Metro,Murray,432
2024-06-30,South Metro,Rockingham,3516
2024-06-30,South Metro,Serpentine-Jarrahdale,702
2024-06-30,South West,Augusta-Margaret River,363
2024-06-30,South West,Boyup Brook,32
2024-06-30,South West,Bridgetown-Greenbushes,169
2024-06-30,South West,Bunbury,997
2024-06-30,South West,Busselton,956
2024-06-30,South West,Capel,442
2024-06-30,South West,Collie,233
2024-06-30,South West,Dardanup,324
2024-06-30,South West,Donnybrook-Balingup,157
2024-06-30,South West,Harvey,594
2024-06-30,South West,Manjimup,244
2024-06-30,South West,Nannup,20
2024-06-30,South West,Waroona,69
2024-06-30,Wheat Belt,Beverley,31
2024-06-30,Wheat Belt,Boddington,25
2024-06-30,Wheat Belt,Brookton,17
