LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
50080,Albany,2020,39629,7202,18.2,4296,10.8,4347,11,4387,11.1,5143,13,5485,13.8,8769,22.1
50080,Albany,2021,40105,7156,17.8,4313,10.8,4380,10.9,4410,11,5140,12.8,5579,13.9,9127,22.8
50080,Albany,2022,40434,7108,17.6,4420,10.9,4332,10.7,4486,11.1,5129,12.7,5555,13.7,9404,23.3
50080,Albany,2023,40949,7032,17.2,4581,11.2,4391,10.7,4651,11.4,5050,12.3,5588,13.6,9656,23.6
50210,Armadale,2020,94970,22524,23.7,11055,11.6,15026,15.8,15106,15.9,10966,11.5,9390,9.9,10903,11.5
50210,Armadale,2021,97644,23148,23.7,11214,11.5,14912,15.3,16037,16.4,11370,11.6,9623,9.9,11340,11.6
50210,Armadale,2022,100849,23833,23.6,11631,11.5,15006,14.9,16965,16.8,11797,11.7,9785,9.7,11832,11.7
50210,Armadale,2023,105094,24423,23.2,12353,11.8,15606,14.8,18041,17.2,12247,11.7,9929,9.4,12495,11.9
50250,Ashburton,2020,8927,1824,20.4,755,8.5,2018,22.6,1864,20.9,1309,14.7,879,9.8,278,3.1
50250,Ashburton,2021,7781,1829,23.5,689,8.9,1618,20.8,1568,20.2,1065,13.7,771,9.9,241,3.1
50250,Ashburton,2022,7843,1878,23.9,608,7.8,1609,20.5,1616,20.6,1092,13.9,776,9.9,264,3.4
50250,Ashburton,2023,8076,1957,24.2,619,7.7,1610,19.9,1700,21.1,1102,13.6,804,10,284,3.5
50280,Augusta Margaret River,2020,16792,3526,21,1323,7.9,1859,11.1,2672,15.9,2445,14.6,2220,13.2,2747,16.4
50280,Augusta Margaret River,2021,17303,3579,20.7,1336,7.7,1830,10.6,2769,16,2571,14.9,2269,13.1,2949,17
50280,Augusta Margaret River,2022,17917,3640,20.3,1393,7.8,1902,10.6,2814,15.7,2641,14.7,2372,13.2,3155,17.6
50280,Augusta Margaret River,2023,18620,3718,20,1491,8,1982,10.6,2910,15.6,2748,14.8,2401,12.9,3370,18.1
50350,Bassendean,2020,16326,2914,17.8,1705,10.4,2388,14.6,2393,14.7,2190,13.4,2015,12.3,2721,16.7
50350,Bassendean,2021,16500,2927,17.7,1667,10.1,2355,14.3,2477,15,2226,13.5,2042,12.4,2806,17
50350,Bassendean,2022,16612,2917,17.6,1635,9.8,2336,14.1,2583,15.5,2180,13.1,2052,12.4,2909,17.5
50350,Bassendean,2023,16914,2902,17.2,1657,9.8,2421,14.3,2675,15.8,2187,12.9,2080,12.3,2992,17.7
50420,Bayswater,2020,71277,11439,16,7844,11,12356,17.3,10679,15,8942,12.5,8025,11.3,11992,16.8
50420,Bayswater,2021,71774,11495,16,7687,10.7,12259,17.1,11031,15.4,9013,12.6,8037,11.2,12252,17.1
