Date,Service_District,Disability,Age_Group,Annualized_Budget,Participants
2023-12-31,Central North Metro,ABI,25-34,205000,15
2023-12-31,Central North Metro,ABI,35-44,194000,28
2023-12-31,Central North Metro,ABI,45-54,239000,56
2023-12-31,Central North Metro,ABI,55-64,200000,68
2023-12-31,Central North Metro,ABI,65+,224000,28
2023-12-31,Central North Metro,Autism,0-14,30000,867
2023-12-31,Central North Metro,Autism,0-14,31000,147
2023-12-31,Central North Metro,Autism,15-24,42000,336
2023-12-31,Central North Metro,Autism,15-24,76000,287
2023-12-31,Central North Metro,Autism,25-34,94000,235
2023-12-31,Central North Metro,Autism,35-44,96000,90
2023-12-31,Central North Metro,Autism,45-54,92000,47
2023-12-31,Central North Metro,Cerebral Palsy,0-14,87000,40
2023-12-31,Central North Metro,Cerebral Palsy,15-24,112000,22
2023-12-31,Central North Metro,Cerebral Palsy,15-24,239000,25
2023-12-31,Central North Metro,Cerebral Palsy,25-34,188000,36
2023-12-31,Central North Metro,Cerebral Palsy,35-44,324000,32
2023-12-31,Central North Metro,Cerebral Palsy,45-54,336000,37
2023-12-31,Central North Metro,Cerebral Palsy,55-64,337000,39
2023-12-31,Central North Metro,Developmental delay,0-14,20000,44
2023-12-31,Central North Metro,Developmental delay,0-14,26000,352
2023-12-31,Central North Metro,Down Syndrome,0-14,42000,18
2023-12-31,Central North Metro,Down Syndrome,15-24,63000,11
2023-12-31,Central North Metro,Down Syndrome,15-24,167000,17
2023-12-31,Central North Metro,Down Syndrome,25-34,153000,33
2023-12-31,Central North Metro,Down Syndrome,35-44,146000,32
2023-12-31,Central North Metro,Down Syndrome,45-54,271000,11
2023-12-31,Central North Metro,Global developmental delay,0-14,21000,47
2023-12-31,Central North Metro,Global developmental delay,0-14,28000,87
2023-12-31,Central North Metro,Hearing Impairment,0-14,11000,61
2023-12-31,Central North Metro,Hearing Impairment,0-14,17000,46
2023-12-31,Central North Metro,Hearing Impairment,15-24,9000,15
2023-12-31,Central North Metro,Hearing Impairment,15-24,12000,21
