State/Territory,Suburb/Locality,Postcode,MMM classification,,
Australian Capital Territory,ACTON (ACT),2601,1,,
Australian Capital Territory,AINSLIE,2602,1,,
Australian Capital Territory,AMAROO (ACT),2914,1,,
Australian Capital Territory,ARANDA,2614,1,,
Australian Capital Territory,BANKS,2906,1,,
Australian Capital Territory,BARTON,2600,1,,
Australian Capital Territory,BEARD,2620,1,,
Australian Capital Territory,BELCONNEN,2617,1,,
Australian Capital Territory,BELCONNEN DISTRICT,2615,1,,
Australian Capital Territory,BONNER,2914,1,,
Australian Capital Territory,BONYTHON,2905,1,,
Australian Capital Territory,BOOTH DISTRICT,2620,5,,
Australian Capital Territory,BRADDON,2612,1,,
Australian Capital Territory,BRUCE (ACT),2617,1,,
Australian Capital Territory,CALWELL,2905,1,,
Australian Capital Territory,CAMPBELL,2612,1,,
Australian Capital Territory,CANBERRA AIRPORT,2609,1,,
Australian Capital Territory,CANBERRA CENTRAL DISTRICT,2601,1,,
Australian Capital Territory,CANBERRA CITY,2601,1,,
Australian Capital Territory,CAPITAL HILL,2600,1,,
Australian Capital Territory,CASEY,2913,1,,
Australian Capital Territory,CHAPMAN,2611,1,,
Australian Capital Territory,CHARNWOOD,2615,1,,
Australian Capital Territory,CHIFLEY (ACT),2606,1,,
Australian Capital Territory,CHISHOLM (ACT),2905,1,,
Australian Capital Territory,CONDER,2906,1,,
Australian Capital Territory,COOK,2614,1,,
Australian Capital Territory,COOMBS,2611,2,,
Australian Capital Territory,COREE DISTRICT,2611,2,,
Australian Capital Territory,COTTER RIVER DISTRICT,2620,5,,
Australian Capital Territory,CRACE,2911,1,,
Australian Capital Territory,CURTIN,2605,1,,
Australian Capital Territory,DEAKIN,2600,1,,
Australian Capital Territory,DENMAN PROSPECT,2617,1,,
Australian Capital Territory,DICKSON,2602,1,,
Australian Capital Territory,DOWNER,2602,1,,
Australian Capital Territory,DUFFY,2611,1,,
Australian Capital Territory,DUNLOP,2615,1,,
Australian Capital Territory,EVATT,2617,1,,
Australian Capital Territory,FADDEN,2904,1,,
Australian Capital Territory,FARRER,2607,1,,
Australian Capital Territory,FISHER (ACT),2611,1,,
Australian Capital Territory,FLOREY,2615,1,,
Australian Capital Territory,FLYNN (ACT),2615,1,,
Australian Capital Territory,FORDE,2914,1,,
Australian Capital Territory,FORREST (ACT),2603,1,,
Australian Capital Territory,FRANKLIN (ACT),2913,1,,
Australian Capital Territory,FRASER,2615,1,,
Australian Capital Territory,FYSHWICK,2609,1,,
Australian Capital Territory,GARRAN,2605,1,,
Australian Capital Territory,GILMORE (ACT),2905,1,,
Australian Capital Territory,GIRALANG,2617,1,,
Australian Capital Territory,GORDON (ACT),2906,1,,
Australian Capital Territory,GOWRIE (ACT),2904,1,,
Australian Capital Territory,GREENWAY,2900,1,,
Australian Capital Territory,GRIFFITH (ACT),2603,1,,
Australian Capital Territory,GUNGAHLIN,2912,1,,
Australian Capital Territory,GUNGAHLIN DISTRICT,2912,1,,
Australian Capital Territory,HACKETT,2602,1,,
Australian Capital Territory,HALL,2618,1,,
Australian Capital Territory,HALL DISTRICT,2618,2,,
Australian Capital Territory,HARMAN,2600,1,,
Australian Capital Territory,HARRISON,2914,1,,
Australian Capital Territory,HAWKER (ACT),2614,1,,
Australian Capital Territory,HIGGINS,2615,1,,
Australian Capital Territory,HOLDER (ACT),2611,1,,
Australian Capital Territory,HOLT,2615,1,,
Australian Capital Territory,HUGHES (ACT),2605,1,,
Australian Capital Territory,HUME,2620,1,,
Australian Capital Territory,ISAACS,2607,1,,
Australian Capital Territory,ISABELLA PLAINS,2905,1,,
Australian Capital Territory,JACKA (ACT),2914,1,,
Australian Capital Territory,JERRABOMBERRA DISTRICT,2620,1,,
Australian Capital Territory,JERVIS BAY (OT),2540,5,,
Australian Capital Territory,KALEEN,2617,1,,
Australian Capital Territory,KAMBAH,2902,1,,
Australian Capital Territory,KINGSTON (ACT),2604,1,,
Australian Capital Territory,KOWEN DISTRICT,2620,2,,
Australian Capital Territory,LATHAM (ACT),2615,1,,
Australian Capital Territory,LAWSON (ACT),2617,1,,
Australian Capital Territory,LYNEHAM,2602,1,,
Australian Capital Territory,LYONS (ACT),2606,1,,
Australian Capital Territory,MACARTHUR (ACT),2904,1,,
Australian Capital Territory,MACGREGOR (ACT),2615,1,,
Australian Capital Territory,MACQUARIE,2614,1,,
Australian Capital Territory,MAJURA DISTRICT,2609,1,,
Australian Capital Territory,MANUKA,2603,1,,
Australian Capital Territory,MAWSON,2607,1,,
Australian Capital Territory,MCKELLAR,2617,1,,
Australian Capital Territory,MELBA,2615,1,,
Australian Capital Territory,MITCHELL (ACT),2911,1,,
Australian Capital Territory,MOLONGLO,2617,2,,
Australian Capital Territory,MOLONGLO VALLEY DISTRICT,2617,1,,
Australian Capital Territory,MONASH (ACT),2904,1,,
Australian Capital Territory,MONCRIEFF,2914,1,,
Australian Capital Territory,MOUNT CLEAR DISTRICT,2620,5,,
Australian Capital Territory,NARRABUNDAH,2604,1,,
Australian Capital Territory,NGUNNAWAL,2913,1,,
Australian Capital Territory,NICHOLLS,2913,1,,
Australian Capital Territory,OAKS ESTATE,2620,1,,
Australian Capital Territory,O'CONNOR (ACT),2602,1,,
Australian Capital Territory,O'MALLEY,2606,1,,
Australian Capital Territory,OXLEY (ACT),2903,1,,
Australian Capital Territory,PADDYS RIVER DISTRICT,2620,2,,
Australian Capital Territory,PAGE,2614,1,,
Australian Capital Territory,PALMERSTON (ACT),2913,1,,
Australian Capital Territory,PARKES (ACT),2600,1,,
Australian Capital Territory,PEARCE,2607,1,,
Australian Capital Territory,PHILLIP,2606,1,,
Australian Capital Territory,PIALLIGO,2609,1,,
Australian Capital Territory,RED HILL (ACT),2603,1,,
Australian Capital Territory,REID (ACT),2612,1,,
Australian Capital Territory,RENDEZVOUS CREEK DISTRICT,2620,5,,
Australian Capital Territory,RICHARDSON,2905,1,,
Australian Capital Territory,RIVETT,2611,1,,
Australian Capital Territory,RUSSELL,2600,1,,
Australian Capital Territory,SCULLIN,2614,1,,
Australian Capital Territory,SPENCE (ACT),2615,1,,
Australian Capital Territory,STIRLING (ACT),2611,1,,
Australian Capital Territory,STROMLO DISTRICT,2611,2,,
Australian Capital Territory,SWINGER HILL,2606,1,,
Australian Capital Territory,SYMONSTON,2609,1,,
Australian Capital Territory,TENNENT DISTRICT,2620,5,,
Australian Capital Territory,THARWA,2620,2,,
